企業名,働き方と裁量,働き方と裁量（タグ）,組織文化,組織文化（タグ）,成長と挑戦,成長と挑戦（タグ）,価値観共鳴,価値観共鳴（タグ）,人間関係,人間関係（タグ）,顧客との接点,顧客との接点（タグ）,業務スタイル,業務スタイル（タグ）,評価と報酬,評価と報酬（タグ）,多様性と自分らしさ,多様性と自分らしさ（タグ）,安定と変化,安定と変化（タグ）,Step1,Step2,Step3,Step4,Step5,Step6,特徴・傾向（面接で重視されること等）,締切・スケジュール（任意）,例年の質問（任意）,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業プロフィール,事業内容
三越伊勢丹ホールディングス,5,売場・接客では裁量が限られるが、バイヤーや企画部門は自由度高い,5,"伝統を重んじる文化と改革志向が混在, 礼節を重視",5,"新業態開発やDX導入で成長機会あり, 個人の発信は組織次第",6,“お客さま第一”の精神に共感する社員が多い,6,"丁寧なコミュニケーションが文化, チームでの連携も強め",8,接客が中核業務で、日常的に顧客と対話する機会が多い,5,"店舗中心のシフト勤務, 売場運営はルール・マナー重視",5,"安定志向, 実績よりも勤続・信頼の積み重ねで評価される傾向",5,外見や言動の規律はあるが、企画部門では個性を活かせる,6,百貨店としての老舗ブランドとともに、ECや新業態での変化も加速中,エントリー , 書類選考 , 適性検査 , 面接複数回 , 内定,,百貨店の未来へのビジョン、接客・ブランドへの愛着、サービス創造力が評価される。,3月説明会、4月〜5月に選考、6月内定。,「記憶に残る買い物体験」「ブランド価値のつくり方」など。,ESFJ,"ENFP, ISFJ, ESTJ",https://www.imhds.co.jp/,百貨店,大規模,双日マシナリーは、機械・装置分野に強みを持つ商社として、自動車、建機、産業機械などの輸出入と技術サポートを行い、モノづくりを支援しています。,産業機械、建設機械、自動車部品の輸出入、技術支援、アフターサービスなど。
三菱UFJフィナンシャルグループ,5,"本部は方針策定中心で裁量あり, 店舗現場は制約多め",4,"大企業ゆえに階層的で保守的, 官僚的な意思決定も残る",5,"DX推進や新事業開発などでは挑戦機会あり, 現場業務は安定型",6,“信頼される金融機関”という理念に共感する社員が多い,5,部署により上下関係が強いが、基本的には協調重視,6,"個人・法人顧客対応が日常的, 担当制で長期接点も多い",5,"営業・窓口・融資審査など業務は明確, マニュアル化進行",6,業績目標で評価されるが、年功的側面も根強く残る,5,"フォーマルな雰囲気で自由度は標準的, 働き方改革進行中",7,"メガバンクとしての安定感は抜群, Fintechなどで変革中",エントリー , 書類選考 , Webテスト・適性検査 , 面接複数回 , 内定,,金融業界の未来を創る視点、論理性、変革への意欲、社会課題解決力が評価される。,3月エントリー、4月本選考、6月内定が多い。,「金融の未来像」「自分の強みが活きる領域」など。,INTJ,"ENTP, INTP, INFJ",https://www.mufg.jp/,金融,大規模,双日総合物流は、双日グループの物流機能を担い、グローバルなサプライチェーンの最適化を支援する総合物流企業です。,国際・国内物流サービス、3PL、倉庫管理、通関業務など。
三菱UFJモルガン・スタンレー証券,6,"投資銀行部門などで大きな裁量あり, 自律性重視の業務設計",6,グローバル企業との統合で成果主義・スピード重視が浸透,7,"大型案件・海外案件で挑戦可能, 専門性の深化も支援される",6,“金融で価値を創造する”という意識が強い組織,5,"実力主義の中で信頼構築が重要, 個人プレーが求められる場面も",6,法人向けの資金調達やM&A支援が中心で、関係構築が肝,6,"案件ごとの変動型, スピードと正確性の両立が求められる",7,成果が明確に評価に反映され、ボーナスに差が出やすい,6,"国際色豊か, 意見表明やキャリア設計の自由度も高い",6,"外資と国内大手のハイブリッド, 市場変化に強く俊敏な組織",エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,金融リテラシー、マーケット感覚、分析力と提案力、グローバルな視座が求められる。,3月選考開始、4〜5月面接、6月内定。,「注目している経済ニュース」「マーケットの変化と提案力」など。,INTJ,"ENTP, INTP, INFJ",https://www.sc.mufg.jp/,金融,大規模,早稲田大学は、自由と進取の精神を重んじる日本有数の私立大学で、グローバル人材の育成と多様な学問分野での研究に力を入れています。,高等教育機関としての学士・修士・博士課程の教育、学術研究、産学連携活動など。
三菱UFJリサーチ＆コンサルティング,6,プロジェクト単位での業務進行で個人裁量は大きめ,5,コンサルとシンクタンクの両面あり、知的で落ち着いた環境,6,官公庁・民間双方に関わる案件で広い視点が得られる,6,“社会課題に向き合う”という視座の高いテーマに共感が必要,6,少数チームで協力体制が強く、知的刺激のある関係性,5,官庁・企業との折衝が中心で、間接的な接点が多い,6,"調査・提案・報告書作成が中心, 柔軟な働き方も可能",5,成果に応じた評価はあるが、年功的側面も一部残る,6,"論理的思考と自由な発想が共存, キャリア設計も柔軟",6,"グループの基盤で安定, 官民連携領域で新たな変化を模索中",エントリー , 書類選考 , 論文・適性検査 , 面接複数回 , 内定,,社会課題への関心、論理的思考、仮説構築力、ビジネスインパクトへの意識が評価される。,4月〜5月に本選考、6月内定が多い。,「コンサルタントの役割とは」「興味のある業界課題」など。,INTJ,"ENTP, INTP, INFJ",https://www.murc.jp/,コンサルティング,大規模,九州地域を中心に鉄道・バス・不動産・ホテルなど多角的に事業を展開するJRグループの一員。地域密着型の経営と先進的な車両デザインで高い評価を得ています。,鉄道事業、バス事業、船舶事業、不動産開発・賃貸、ホテル・飲食店運営、観光・レジャー施設運営など。
三菱ガス化学,6,研究・開発職では自由度が高く、テーマ選定も一部裁量あり,5,"技術者主導の論理的で静かな風土, 長期視点での研究を重視",6,エネルギー・環境分野での新規展開が活発,6,“独自技術で社会課題に貢献する”という姿勢に共感が求められる,6,"専門職同士の協力関係が密, 落ち着いた人間関係",4,"営業以外は顧客接点が少なめ, 技術者は間接関与が中心",6,"研究〜製品化まで一貫対応, 実験・評価・分析業務が中心",6,"成果とプロセスを評価, 報酬水準は安定型で昇給も堅実",5,"技術職は個性発揮の余地あり, 組織全体は画一的傾向",6,エレクトロニクス・バイオなど多分野展開で変化に強い,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,素材・化学業界の意義への理解、探究心、研究開発・事業開発への情熱が評価される。,3〜4月選考、5月内定が多い。,「好きな化学分野とその理由」「社会への応用可能性」など。,ISTP,"ESTP, ISTJ, ESTJ",https://www.mgc.co.jp/,化学,大規模,創業130年以上の歴史を持つ総合建設会社。土木・建築両分野において技術力に定評があり、国内外のインフラ整備に数多くの実績を誇ります。,土木工事、建築工事、都市開発、環境ソリューション、再生可能エネルギー関連事業など。
三菱ケミカルホールディングス,6,"研究・企画部門では裁量大きめ, 生産現場はプロセス重視",5,"大企業らしい落ち着いた雰囲気, 合併文化の融合期",6,素材開発・環境技術で挑戦できる領域が広がる,6,"“KAITEKI価値”に共感する社員が多い, 社会貢献意識強め",6,部署間協力やチームワークを大切にする文化,5,"研究・技術職は間接的, 営業部門は法人顧客と継続的接点あり",6,"PJ単位での活動が中心, 課題解決型の業務フロー",6,"職能等級制で安定感あり, 成果も評価に反映される",5,統合に伴う画一化傾向ありつつも、研究職に自由度あり,7,"業界再編の中でも安定基盤を保持, 環境・バイオで変化を加速中",エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,サステナビリティやグローバルな視点、素材で世界を変える志向が評価される。,3月〜4月に選考、6月内定が多い。,「サステナブルな社会への貢献」「技術と社会の接点」など。,ISTP,"ESTP, ISTJ, ESTJ",https://www.mitsubishichem-hd.co.jp/,化学,大規模,日本の私立大学の中でトップクラスの伝統と実績を誇る総合大学。幅広い学問領域と先進的な研究により、多くのリーダー人材を輩出しています。,高等教育（学部・大学院）、基礎・応用研究、産学官連携、医療機関運営、社会貢献活動。
三菱ふそうトラック・バス,6,"製品開発やマーケ部門では裁量あり, 製造部門は標準化強め",5,ドイツ資本も入りグローバルな文化と日系気質の混在,6,EV・自動運転・サステナブル物流などで先進開発が進行中,5,“物流を革新する”という理念に共感する技術者が多い,6,"部署間連携が必要不可欠で協力的, 異文化理解も必要",6,営業部門は運送会社・自治体など法人顧客との関係が深い,6,"製造～販売までの一貫工程, 技術・営業・設計など多職種連携型",6,成果連動＋等級制度で、実績が昇進に影響,6,"グローバルチームの中で多様性を尊重, 働き方も柔軟性あり",7,EV・自動運転化に大きく舵を切り、変革の渦中にある,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,モビリティ業界への興味、技術革新への関心、現場視点とグローバル志向が求められる。,3月エントリー開始、4〜5月選考、6月内定。,「移動の未来に求められるもの」「モノづくりにおける信念」など。,ISTP,"ESTP, ISTJ, ESTJ",https://www.mitsubishi-fuso.com/,自動車,大規模,ITインフラの構築から運用・保守までを一貫して提供するSIer。顧客の業務課題を解決するための最適なITソリューションを提供し続けています。,ITインフラ構築、システムインテグレーション、クラウドサービス、セキュリティ対策、IT運用支援など。
三菱自動車,6,"技術・開発部門に裁量あり, グローバル開発プロジェクトに関与可能",5,日産とのアライアンス影響もあり、過渡期的な社風,6,東南アジアなど新興国市場で挑戦機会が多い,5,“環境と走りの両立”へのこだわりに共感する社員多数,5,部署により上下関係が強めだが、改善志向あり,5,販売店経由が多く、現場社員は間接的な接点が中心,6,"製品ごとにプロジェクト編成, 海外関係会社との連携も多い",6,"成果を評価する傾向が強まりつつあり, 報酬は安定型",5,"働き方改革進行中, 多様性推進は発展途上",6,"企業再建を経て変革途上, 電動化・新興国展開に注力中",エントリー , 書類選考 , Webテスト・適性検査 , 面接複数回 , 内定,,自動車開発への情熱、グローバル志向、変革意識とチームでの連携力が評価される。,3月選考開始、5〜6月内定の流れ。,「車づくりで挑戦したいこと」「顧客視点の開発とは」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mitsubishi-motors.com/,自動車,大規模,兼松グループの商社機能を担い、幅広い産業分野で原材料や機械、部品の輸出入を手がけています。柔軟な対応力と国際感覚に優れた営業力が特徴です。,産業用資材・機械・電子部品などの輸出入・販売、グローバルトレーディング、OEM取引など。
三菱重工業,7,プロジェクト単位での裁量が大きく、技術職は独自性を活かせる,5,"官需系の名残と技術者気質が融合, 保守的だが真面目な風土",6,宇宙・防衛・脱炭素など成長領域への投資が活発,6,“技術で未来を創る”という理念に共感しやすい,6,"チーム制が基本, 技術議論を重視する関係性",4,"官公庁や法人とのBtoBが中心, 現場の顧客接点は限定的",7,長期プロジェクト型で、設計・製造・保守を一貫対応,6,職能等級・技術力評価をベースに安定報酬型,5,"技術領域により自由度差あり, 保守的な部署も存在",7,"防衛・エネルギーなどで安定, GX・航空宇宙で変化中",エントリー , 書類選考 , 適性検査 , 面接複数回 , 内定,,インフラ・宇宙・エネルギーといった社会基盤への理解と貢献志向、技術力への誇りが重視される。,3月〜4月選考、6月内定が多い。,「社会課題と技術の接点」「大規模プロジェクトへの関心」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mhi.com/,製造,大規模,斬新な企画力と話題性の高い出版物で知られる出版社。ビジネス書や自己啓発書を中心に多くのベストセラーを生み出し、出版業界に革新をもたらしています。,書籍・雑誌の企画・編集・出版、電子書籍の配信、著者とのコラボレーションイベントの企画など。
三菱商事,8,事業投資・提携・創業などあらゆる面で大きな裁量を持つ,7,"自由と責任が明確な実力主義, 個を活かす文化",8,"全世界での新規事業開発やM&Aが豊富, 挑戦の機会に満ちている",7,“三綱領”を重視し、長期視点での社会貢献志向が強い,6,"グローバル・部門横断での協業が基本, フラットで知的な関係性",7,"法人交渉・提携が中心, 各国の大企業・政府とも連携",7,事業経営・M&A・投資管理など多岐にわたるプロジェクト制,8,ハイレベルな成果主義で、報酬水準も業界屈指,7,"多様なバックグラウンドを歓迎, 自己表現力が求められる",8,"商社最大手としての盤石な基盤, 変化への対応力も非常に高い",エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,社会変革を牽引する視座、課題解決力、グローバル志向、多様な人材との連携力が求められる。,3月エントリー開始、4〜5月選考、6月内定が主流。,「社会にインパクトを与えた経験」「商社としての価値提案」など。,ENTJ,"ESTJ, ENTP, INTJ",https://www.mitsubishicorp.com/,商社,大規模,企業法務や訴訟対応に強みを持つ法律事務所。クライアントに寄り添う丁寧な対応と、豊富な実績を背景に、信頼されるパートナーとして活動しています。,企業法務、契約書作成・レビュー、訴訟・紛争解決、労務・知財・M&Aなどの法的サービス提供。
三菱商事エネルギー,6,エネルギー取引や供給戦略での裁量が比較的大きい,5,商社系の堅実な風土とスピード感を併せ持つ,6,脱炭素・再エネ対応で新規事業に挑戦できる機会あり,5,“安定したエネルギー供給”という使命感に共感,6,落ち着いた人間関係で、部門間連携もスムーズ,7,法人顧客とのエネルギー供給契約や商談が中心,6,"取引交渉・需給管理など多様な業務を担当, 柔軟性が必要",6,"営業成果を反映した制度あり, 安定報酬と成果報酬の両立型",5,"商社の中ではフォーマル寄り, 個性発揮の場は限定的",6,エネルギー業界の変動に対応しつつ、長期的な安定性もある,エントリー , 書類選考 , 面接複数回 , 内定,,,エネルギー流通の変革・安定供給への使命感、業界構造への興味、誠実さが評価される。,3〜5月に選考、6月内定が多い。,「エネルギーと社会の関係」「変化を支える責任」など。,ENTJ,"ESTJ, ENTP, INTJ",https://www.mitsubishicorp.com/jp/ja/,商社（エネルギー）,大規模,港湾・海洋土木におけるパイオニアとして、世界各地でインフラ整備を手掛けてきた総合建設会社。近年は都市開発や再生可能エネルギー分野にも注力しています。,土木（港湾・トンネル・橋梁等）、建築（高層ビル・商業施設等）、再エネ施設建設、海外プロジェクトなど。
三菱商事エレクトロニクス,6,商材や取引先に応じた営業判断に一定の裁量あり,5,"技術志向と営業志向の融合, 専門性を重んじる文化",5,半導体・電子機器分野で技術提案力を活かして成長可能,5,“技術で価値を届ける”ことへの意識が強い,6,"営業と技術が連携しやすい構造, 穏やかな職場",7,法人メーカーと技術要件の擦り合わせを行う場面が多い,6,"営業・物流・技術調整まで幅広く関与, 柔軟性必要",5,"成果と年次のバランス型, 成果に応じた評価制度あり",5,職場は落ち着いており、提案に個性を出せる余地あり,6,安定供給に加え、IoT・半導体分野の変化に柔軟に対応,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,電子部品・半導体などの専門商社として、技術理解・提案力・国際感覚が評価される。,3月エントリー、4月〜5月選考、6月内定が多い。,「テクノロジーの進化に対する考え」「BtoB営業で求められる視点」など。,ENTJ,"ESTJ, ENTP, INTJ",https://www.mitsubishicorp.com/jp/ja/,商社（電子機器）,大規模,女性誌・文芸誌・実用書など多彩なジャンルで親しまれる総合出版社。読者目線の編集方針とメディアミックス展開により、高いブランド力を築いています。,雑誌（『女性自身』『CLASSY.』など）、書籍、電子出版、ウェブメディア運営、イベント企画など。
三菱商事ファッション,7,アパレルOEM・ODMでの企画裁量が非常に大きい,6,デザイン・企画志向の強い文化で、若手も意見しやすい,6,新ブランド開発や素材開発など挑戦機会あり,6,“ファッションの価値を届ける”という意識が共有されている,6,"チームでのクリエイティブな議論が活発, 横のつながりも強い",7,アパレルメーカー・小売と密なやり取りが日常的,6,企画・調達・生産まで一貫して担当するプロジェクト型,5,"企画成果により評価, 業界水準では安定寄り",6,"デザイン領域で個性が活かされる, 服装自由度も高め",6,"業界変化に敏感, トレンドやサステナビリティに迅速に対応",エントリー , 書類選考 , 面接複数回 , 内定,,,ファッション業界への興味、素材やブランド理解、トレンド感とビジネス感覚の両立が求められる。,3月エントリー、4〜5月選考、6月内定が主流。,「注目するファッション企業」「ファッション×商社の価値」など。,ENFJ,"ENFP, INFJ, ENTJ",https://www.mcfashion.co.jp/,商社（アパレル）,大規模,世界中で展開される『KUMON』メソッドにより、自学自習の力を育む教育サービスを提供。個々の能力に合わせた学習を促進し、子どもの可能性を引き出します。,算数・国語・英語を中心とした教室運営、教材開発、フランチャイズ展開、海外教育事業など。
三菱商事プラスチック,6,商材提案や開発に関わる裁量が大きく、自由度高め,5,素材系商社としての堅実性と新規探索の柔軟性が共存,6,バイオプラ・リサイクル分野などで新領域の拡大中,5,“持続可能な素材流通”への意識が強まっている,6,社内連携がスムーズで、部署間の風通しも良好,7,法人営業での製品開発支援や技術提案が中心,6,"提案型営業が主軸, 技術理解も必要",5,成果主義要素もあるが、基本は安定型報酬,5,職場は落ち着いた雰囲気で、一定の自由度あり,6,石化素材の供給基盤ありつつ、サステナ素材への転換が進行中,エントリー , 書類選考 , SPI , 面接複数回 , 内定,,素材産業・化学商材の基礎知識、ロジカルな思考、環境意識や責任感が評価される。,3月〜4月選考、6月内定の傾向。,「プラスチックの今後」「業界のサステナブルな展望」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mcplastic.co.jp/,商社（プラスチック）,大規模,「ポッキー」「プリッツ」など多くの人気商品を展開する総合食品メーカー。健康・楽しさ・美味しさをテーマに、革新的な商品開発を続けています。,菓子、アイスクリーム、乳製品、栄養食品などの製造・販売、海外展開、研究開発など。
三菱商事マシナリー,6,"設備・機械商材の営業に裁量あり, 案件主導で動ける環境",5,"技術志向と商社的提案力のバランス型, 落ち着いた雰囲気",5,インフラ・産業機械領域での継続的な提案が中心,5,“社会インフラを支える”という使命に共感する人が多い,6,プロジェクト単位でのチーム制が多く、協力体制が整っている,7,法人顧客と仕様調整・納品管理など密なやり取りあり,6,長期的な納入案件・アフターサービス対応が中心,6,"営業成果に応じた報酬, 技術知識も評価対象に含まれる",5,"業界標準のフォーマル傾向, 意見は尊重される",6,"産業基盤に支えられた安定性あり, GX対応などで変化中",エントリー , 書類選考 , 面接複数回 , 内定,,,産業機械分野への関心、現場課題への理解、技術営業としての柔軟性が求められる。,4月〜5月に集中し、6月内定が多い。,「機械ビジネスの可能性」「業界の革新性」など。,ENTJ,"ESTJ, ENTP, INTJ",https://www.mcmachinery.co.jp/,商社（機械）,大規模,三菱商事マシナリーは、機械設備の専門商社として、グローバルな産業界に高度なソリューションを提供する企業です。信頼と技術力を武器に、ものづくりを支え続けています。,各種産業用機械・設備の販売、輸出入、エンジニアリングおよびアフターサービスなど。
三菱倉庫,5,"現場運営ではマニュアルベース, 本部業務での裁量はあり",5,"老舗らしい安定志向と真面目な社風, 堅実で落ち着いた雰囲気",4,"新事業開発は限定的, 物流効率化などで局所的な挑戦あり",5,“社会インフラとしての物流”を支える使命感に共感,6,"現場〜本部間の連携が必要, おだやかで協調性重視",6,"法人顧客との定期交渉が中心, 倉庫運営での対応も一部あり",5,"倉庫・輸送のオペレーション管理が中心, 安定業務",5,年功的要素が強く、安定的な昇給が基本,4,ルール遵守が重視され、自由度はあまり高くない,7,"三菱グループの中でも特に安定, 業界的にも守備型企業",エントリー , 書類選考 , 適性検査 , 面接複数回 , 内定,,物流の安定供給・社会基盤としての責任感、地道な業務姿勢、丁寧な対応力が重視される。,3月説明会、4〜5月選考、6月内定。,「物流の社会的意義」「現場で求められる視点」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mitsubishi-logistics.co.jp/,物流・倉庫,大規模,三菱倉庫は、物流と不動産の二本柱で社会インフラを支える企業です。長年の歴史と信頼を礎に、持続可能な社会の実現に貢献しています。,倉庫業、運送業、港湾運送、国際物流、不動産賃貸業など。
三菱総合研究所,7,研究者に裁量大きく、テーマ選定や進行管理も自由度高い,6,"論理・思考重視の知的な雰囲気, 自律を尊重する風土",7,政策提言・社会課題への提案など挑戦機会が豊富,6,“未来を構想し社会を変える”という理念への共感が必須,6,"専門性を尊重したフラットな関係性, 風通し良好",4,官公庁・企業との折衝が中心で直接顧客対応は少なめ,6,調査・分析・政策提案まで一気通貫で行う知的業務,6,"成果と専門性で評価, 報酬は安定型で中長期志向",6,"個人テーマの追求が許される, キャリアの自由度も高い",6,"政策研究機関として安定, 社会変化に対応する柔軟性もある",エントリー , 書類選考 , 論文・適性検査 , 面接複数回 , 内定,,政策・社会課題への洞察力、論理的思考、仮説構築と分析のスキルが重視される。,4月本選考、5月面接、6月内定が多い。,「社会課題とビジネスの接点」「リサーチの役割」など。,INTJ,"ENTP, INTP, INFJ",https://www.mri.co.jp/,シンクタンク,大規模,三菱総合研究所は、シンクタンク機能とITソリューションを融合し、政策提言から実行支援まで一貫したサービスを提供しています。,政策研究、経済分析、社会課題の解決提案、ITコンサルティングなど。
三菱地所,7,街づくりや再開発のプロジェクトでは裁量が大きい,6,"上品で論理的, ブランド意識と責任感の強い文化",6,国内外の大型開発・まちづくりで多様な挑戦が可能,7,“都市を創る”ことへの誇りと社会貢献意識が強い,6,"落ち着いたコミュニケーション文化, 調整力が求められる",5,行政・テナント・パートナー企業との折衝が多い,6,"再開発〜企画〜リーシングまで一貫担当, 調整業務多め",7,"プロジェクト成果に応じた評価が明確, 報酬水準も高い",6,"多様な職種が共存, 自由な提案も通りやすい",7,"丸の内を中心とした強固な安定基盤, スマートシティなどの変革も推進",エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,都市開発への情熱、まちづくりの構想力、リーダーシップが問われる。抽象思考力が必要。,3月説明会、4月〜5月選考、6月内定が多い。,「理想の都市像」「都市課題と解決提案」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mec.co.jp/,不動産,大規模,三菱地所は、日本を代表する総合不動産会社として、都市開発・街づくりを牽引し続けています。丸の内エリアを中心に、先進的な都市開発を手がけています。,不動産の開発、賃貸、管理、運営、再開発プロジェクトの推進など。
三菱地所レジデンス,6,物件企画・開発で裁量があり、若手にも意見の機会あり,5,"安定感と上品さを併せ持つ文化, 落ち着いた雰囲気",5,"マンション開発での挑戦要素は限定的, 品質重視の姿勢",6,“暮らしを豊かにする住まい”への共感が強い,6,部署内外の調整が多く、穏やかで礼儀を重んじる関係性,6,"販売代理店や購入者との接点あり, 説明対応など",6,"プロジェクト制, スケジュール・コスト管理が中心",6,"年次＋成果で評価されるハイブリッド型, 報酬水準も安定",5,職場は画一的だが、業務の中での創意工夫は評価される,6,"住宅事業の安定基盤あり, スマート住宅やDX推進中",エントリー , 書類選考 , 適性検査 , 面接複数回 , 内定,,住宅開発に関する顧客志向・誠実さ・柔軟な思考力が重視される。女性社員も活躍。,3月エントリー、4月選考、6月内定が多い。,「住宅で実現したい価値」「理想の暮らしの提案」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mec-r.com/,不動産,大規模,三菱地所レジデンスは、高品質な住宅供給を通じて、人々の豊かな暮らしを支えるマンション開発のリーディングカンパニーです。,分譲マンションの企画・開発・販売、戸建住宅・賃貸住宅の提供。
三菱地所住宅販売,6,"営業現場では裁量大きめ, 自由な提案がしやすい環境",5,営業色強めながらも、丁寧な対応が求められる文化,5,"営業スキルの研鑽が中心, 挑戦機会は個人に委ねられる",6,“信頼ある住宅取引”という価値への共感が強い,6,"営業同士の情報共有が活発, 競争より協力重視の文化",8,"住宅購入者・売却者との直接対応が中心, 高頻度接点",6,"営業主体のスタイル, 顧客に応じた柔軟な対応が求められる",6,営業成果がダイレクトに報酬に反映される実力主義傾向,5,"営業スタイルに個性を出せる余地あり, 全体は整った印象",6,"三菱地所グループの安定基盤あり, 住宅市場変化に柔軟対応中",エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,住宅営業としての誠実さ・人との信頼関係構築・不動産知識への関心が評価される。,3月エントリー、4〜5月選考、6月内定。,「接客経験」「信頼を得たエピソード」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mec-h.com/,不動産,大規模,三菱地所住宅販売は、住宅流通のプロフェッショナルとして、売買仲介をはじめとする多彩なサービスで安心の住まい探しをサポートします。,不動産の売買仲介、リフォーム提案、住宅ローンサポートなど。
三菱電機,6,"技術・設計部門では一定の裁量あり, 大型案件はチーム主導",4,"大企業らしい縦割り組織, 保守的な管理体制が根強い",5,"成長機会は部署による, 技術革新分野では挑戦可",5,“社会インフラを支える技術”への共感が求められる,5,部署により異なるが、硬めで形式的な人間関係が多い,5,営業や設計現場で法人顧客と折衝が発生する,6,"開発・生産・設計の一貫体制, プロジェクト型もあり",5,年功色が残るが、技術成果による評価制度も導入中,4,企業文化は画一的で、個性を活かしにくい傾向,6,"インフラ機器を中心に安定, DX推進で一部変化あり",エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,ものづくりへのこだわり、技術力と社会貢献意識、チームでの協調力が求められる。,3月〜4月に選考、6月内定が多い。,「技術の社会応用」「チーム開発経験」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mitsubishielectric.co.jp/,製造,大規模,三菱電機は、エレクトロニクスと電機製品を中心に、社会インフラから家庭製品まで幅広く展開する日本の技術大手企業です。,FA機器、エネルギーシステム、家電、宇宙システムなどの製造・販売。
三菱電機インフォメーションシステムズ,6,"SIerとして案件主導の裁量あり, 顧客に応じた提案が可能",5,三菱グループらしい堅実さと技術志向の融合,5,大手企業向け基幹システム等で開発力を発揮できる,5,“社会の仕組みを支えるIT”という価値観に共感,6,"穏やかで協力的な雰囲気, 技術職間のリスペクトあり",6,法人顧客と要件定義・設計段階で継続的な接点あり,6,"チーム制でのシステム開発が中心, リモート活用も進行中",5,年功傾向を残しつつも、プロジェクト成果が反映される,5,"エンジニア個性が活きる場面あり, 全体は保守的",6,"SI業界としての安定あり, クラウド化対応など変革中",エントリー , 書類選考 , Webテスト・適性検査 , 面接複数回 , 内定,,SIerとしての業務理解、技術と顧客対応のバランス感覚、真面目さと成長意欲が重視される。,3月エントリー、4〜5月選考、6月内定が多い。,「チームでの開発経験」「ITで解決したい課題」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mdis.co.jp/,IT・電子機器,大規模,三菱電機インフォメーションシステムズは、ICTを駆使して社会と企業の課題を解決するSIerとして、多様な業界にソリューションを提供しています。,システムインテグレーション、ITインフラ構築、運用保守など。
参天製薬,6,研究・開発職は自由度が高く、戦略立案も担当,6,グローバル製薬企業としての風通しのよさとスピード感あり,6,眼科領域のスペシャリスト企業として世界展開に挑戦中,6,“患者のQuality of Lifeを支える”という姿勢に共感,6,"部署横断の連携が活発, チームワーク重視の雰囲気",5,"MR職では医師・薬剤師との接点あり, 他職種は限定的",6,研究・開発・販促など各部門が機能分化しつつ連携,6,成果やスキルで評価される傾向が強く、報酬も安定,6,海外との連携で多様性が進み、自由度も高まりつつある,7,"国内外での高いシェアを背景に安定, グローバル展開で変化も強い",エントリー , 書類選考 , 適性検査 , 面接複数回 , 内定,,医療と患者貢献への思い、誠実さ、専門知識を活かした提案力が評価される。,3〜4月選考、5月内定の傾向。,「医薬品と社会貢献」「患者視点で考えた提案」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.santen.co.jp/,製薬,大規模,参天製薬は、眼科領域に特化したスペシャリティファーマとして、世界中の人々の「見る喜び」を支えるリーディングカンパニーです。,医療用眼科薬、一般用点眼薬の研究開発、製造、販売。
山口フィナンシャルグループ,5,"地方銀行としての安定運用が中心, 裁量は限定的",5,"地域密着・保守的な文化が根強い, 調和を重視する風土",4,大きな挑戦は少ないが、地方創生・DX推進が一部あり,6,“地域経済の支え手”としての使命に共感が求められる,6,地元出身者が多く、協力的で温かい関係性,7,個人・法人との日常的な接点が多く、相談業務中心,5,"融資・営業・窓口業務が中心, 業務内容は安定型",5,年功制が残るが、地域貢献や信頼構築も評価対象,4,行内文化は画一的で、個性は発揮しにくい側面も,7,地方銀行としての安定性が高く、地域支援型の変革進行中,エントリー , 書類選考 , Webテスト , 面接複数回 , 内定,,地域金融の担い手としての責任感、地域密着型の提案姿勢、真摯な対応力が問われる。,3〜4月選考、5〜6月内定が多い。,「地元との関わり」「地域での提案経験」など。,ISTJ,"ESTJ, ENTJ, ISTP",https://www.ymfg.co.jp/,金融,大規模,山口フィナンシャルグループは、地域金融機関として地域社会との共生を目指し、持続的成長をサポートする金融サービスを展開しています。,銀行業務、証券、リース、コンサルティングなどの金融関連事業。
